N_proxy,corr_with_O,corr_with_E,ARI_vs_baseline_kmeans,silhouette,davies_bouldin,calinski_harabasz
0.7*O + 0.3*E,0.9280400001170735,0.49459903502708774,0.9999999999999999,0.19999838727465705,1.7540848890171363,5577.99882591768
1.0*O + 0.0*E,1.0,0.13527691943146822,0.8381600858839138,0.19496381729100012,1.7943283299757462,5318.320501164492
0.5*O + 0.5*E,0.7534178520022825,0.7534178520022823,0.8846743538676947,0.2032058114439902,1.7277824975472047,5750.739990520388
