country,age,gender,O_score,C_score,E_score,A_score,N_score,N_proxy,J_proxy,T_proxy,Impulsivity_Index,Emotional_Reactivity,Creative_Divergence,Social_Adaptability,cluster_kmeans,cluster_gmm,cluster_best
IN,25,2,3.4,4.2,3.2,4.1,3.2,-0.4132902329662856,1.360205865503822,0.5998225386702749,-1.4403323505285868,-0.16040687910640083,-0.9794847264301154,0.5649984936815805,1,0,2
US,47,1,3.8,4.0,3.6,3.4,3.2,0.42263822960444786,0.8715244374539366,0.8988389392717953,-1.1319930525748365,0.20260810542392704,0.09100897050381751,0.392474774232719,1,0,2
US,18,1,3.2,2.5,2.0,2.8,3.2,-1.1556304053279156,-1.1859484842858943,-0.07381363348541936,1.180551682078289,0.5137638064499226,-0.9597208385803311,-1.8561230798840136,0,2,0
SE,23,1,3.3,3.4,2.8,3.5,3.6,-0.7195851309318484,0.1660829780344914,0.27468249161593483,0.8493787033138396,1.2071026839470202,-0.9850197474029113,-0.7030017547383247,0,2,0
GB,14,3,3.4,2.0,3.0,3.8,3.7,-0.47816542118153843,-1.456898523497844,-1.2277796938071455,3.2718422544969465,1.3156132989408793,-0.3011382709318652,-0.3066812494845429,0,2,1
US,20,2,4.1,3.7,1.5,4.2,3.8,0.2710823179494648,0.7781001252658772,0.06816788040053934,0.9150466873969262,1.3722646304304043,0.9401301378973294,-1.6620589378223676,0,1,1
US,35,2,3.6,3.7,4.2,4.4,3.5,0.26417475118009254,0.8472458366049874,-0.07012354227768103,0.12278129087635725,0.47628066690117,-0.3209021587816484,1.6678684291679524,1,0,2
US,34,2,3.7,4.2,4.3,4.5,3.1,0.473156866822776,1.4984972881820424,0.3232396933138342,-1.7044208160354435,-0.6319324786305881,-0.22286534842272743,2.179332040642155,1,0,2
JO,36,2,3.6,3.3,3.7,3.8,3.7,0.10198678064196068,0.14646582586165635,-0.025256431787520447,1.2676368177975714,1.3156132989408793,-0.19756643960014825,0.4501959463600727,0,1,1
US,15,1,3.0,2.4,2.6,3.0,3.1,-1.314093883752272,-1.240138492128284,-0.3046068455497648,1.0706328655483075,0.14595677393440062,-1.433299827456548,-0.9552803797316537,0,2,0
US,20,1,3.9,2.8,3.9,4.1,2.5,0.6964955334623841,-0.36649420303717883,-0.6952025127354757,-1.1305765234003315,-2.0090261376543967,0.7132225873841137,1.8764614670905946,1,1,2
CA,54,2,3.8,3.8,2.6,3.7,2.8,0.09826228852818411,0.7285715660996016,0.5063982264822144,-1.8800076166485131,-1.0093236071164977,0.15267683009456756,-0.11257578655826905,1,0,2
US,47,1,4.0,2.7,3.2,4.1,3.7,0.6459768962440567,-0.4898299222186784,-0.7877043021216004,2.1926547116588213,1.1600354484278816,0.9962629765152846,0.16886579542129582,0,1,1
IN,17,1,3.2,2.8,2.3,3.6,3.2,-1.0583176230050366,-0.5393584813849539,-0.3494739560399255,0.7180427351476643,0.09888953841526181,-1.0522226279664562,-0.8402900254166489,0,2,0
US,45,1,4.3,4.5,3.5,4.2,2.7,1.2729232431721065,1.7647858787178774,0.8081821954895394,-3.2232836249934937,-1.532708490145016,1.1978716182059213,1.371939272192017,1,0,2
US,32,2,3.1,3.8,3.0,3.8,3.7,-1.0077989857867093,0.7631444217691565,0.4372525151431046,0.49678857291319634,1.3156132989408793,-1.6127683852560022,-0.3066812494845429,0,2,0
NO,23,2,3.7,2.5,4.0,4.1,3.1,0.3758440844998969,-0.7365013605816787,-0.9727078808938507,0.9164632165714324,-0.42449534461325755,0.3013114580986478,1.5092275428703406,1,1,1
US,23,2,3.5,3.1,3.9,4.2,3.2,-0.009682552677843903,0.03808581017687693,-0.4868428559162109,0.2555337882170387,-0.21226616261073372,-0.3881050393451943,1.4083078287000839,1,1,1
US,14,2,3.4,3.3,2.5,4.0,4.0,-0.6403533917196703,0.2156115372007665,-0.16354785446574077,2.0599022143181402,2.004160128452783,-0.7019793582717403,-0.9121231585533778,0,2,0
IE,19,1,4.2,2.4,3.0,3.7,3.4,0.9341907510989184,-0.9981285024413987,-0.7886268249235358,1.8628982620688763,0.5752071859246414,1.5931776845730017,-0.15543376970225914,0,1,1
NZ,15,2,3.4,2.1,1.8,4.1,3.4,-0.8674165504730549,-1.2298442373076786,-1.3427150384383504,2.325407208999501,0.3677700519073114,-0.33197220072724026,-1.107208977311764,0,2,1
FI,49,2,4.0,2.1,3.4,3.5,3.3,0.7108520844593095,-1.4372813713250088,-0.9278407704036901,2.0613187434926443,0.41483728742645,1.1812665552875345,0.183429746370374,0,1,1
US,47,2,3.9,3.0,1.3,4.2,3.0,-0.14688191333590156,-0.0852499090046232,-0.579344645302336,-0.11847349381979949,-0.740443093624447,0.6515547277933635,-1.244497247990088,0,1,1
BE,23,2,3.1,3.5,2.5,4.4,3.6,-1.169986956324841,0.6005743982419871,-0.25512712104993124,0.6952090543369644,0.7403691324080268,-1.5202665958698771,-0.2494884432495993,0,2,0
FI,19,2,3.6,3.4,1.6,2.4,3.8,-0.5792026956181932,-0.21421843433061427,1.0352853163461462,1.3775556343275517,2.3057317335083907,-0.22840036939552327,-3.1097121292602568,0,2,0
US,36,1,3.2,4.2,2.5,3.9,3.6,-0.9934424347897839,1.291060154164712,0.7381139613484948,-0.383978488501161,0.9996655499296899,-1.4838976451017063,-0.6816491391190378,0,2,0
GB,21,2,4.0,2.3,3.4,4.2,3.3,0.7108520844593095,-0.9485999432751235,-1.2268571710052112,1.752979445538895,0.05182230289612183,1.1195986956967847,0.7884547205875876,0,1,1
BE,21,2,4.1,2.7,3.5,3.8,3.6,0.9198342001019922,-0.5935484892273435,-0.5802671681042703,1.9285662461519646,1.0515248334340226,1.2484694358510795,0.3131718586279537,0,1,1
GB,13,1,3.8,2.9,2.3,3.0,3.4,0.0009495062053049008,-0.623459896220784,0.15790210138086036,1.0920500171845013,0.9382221704549696,0.4301821982529426,-1.5173359397640882,0,1,1
US,21,2,3.3,4.0,3.1,3.8,3.0,-0.6222723486089692,1.0098158601321567,0.6222560939153549,-1.66016998358855,-0.5330059596071166,-1.1700233261751614,0.35602984177194386,1,2,2
HR,32,1,3.8,4.1,4.5,3.9,2.8,0.7145765765730852,1.1677244349832114,0.6456121719623693,-2.342516563579138,-1.1130421741251628,0.060175040708442595,2.1146694519391764,1,0,2
US,33,2,3.9,4.0,4.7,4.1,2.9,0.9559962863233951,1.1135344271408218,0.4148189598980247,-1.9242584490954067,-0.952672275626971,0.3432154298396135,2.4245578180190703,1,0,2
US,33,1,3.5,3.7,3.9,3.8,2.4,-0.009682552677843903,0.6398087025876569,0.34475072575697996,-2.782191829699064,-2.117536752648256,-0.5731086181174444,1.6963915892209886,1,0,2
GB,16,1,3.9,2.9,2.9,2.8,3.0,0.37211959238612036,-0.6926056075598943,0.2961935240590807,0.03569615515707564,-0.014413124563790847,0.6823886575887386,-0.7245421773511085,0,1,1
BE,21,2,4.1,2.8,3.2,3.0,3.2,0.8225214177791131,-0.7467956154022843,0.06540031199473523,0.7180427351476643,0.4100452394412573,1.2176355060557045,-0.38575503723118304,0,1,1
NO,31,2,3.1,3.5,3.7,3.7,2.6,-0.7807358270333246,0.35856440855510174,0.22889285832383965,-1.9456756007316003,-1.5375005381302098,-1.5202665958698771,1.2352557433588118,1,2,2
US,17,1,4.1,2.3,1.3,4.4,3.6,0.20620712973421207,-0.8794542319360134,-1.3651485936834318,2.545244842059465,0.7403691324080268,1.3718051550325796,-1.546992207554654,0,1,1
GB,26,2,3.3,3.6,2.6,4.0,3.2,-0.784460319147101,0.585618694745267,0.11395751369263452,-0.5153144566673364,-0.10854759560206846,-1.0466876069936613,-0.1701855276448343,0,2,0
BE,34,1,4.2,2.7,3.5,4.6,3.3,1.0963787216370502,-0.31696564387090304,-1.1334328588171512,1.1363008496313942,-0.15561483112120822,1.5006758951868766,1.2423085909752256,1,1,1
ZA,21,2,3.8,4.6,3.0,4.2,3.0,0.22801266495868958,1.8881215978993768,0.900683984875664,-2.5851878774497994,-0.740443093624447,-0.09399460826843242,0.5936330847754068,1,0,2
US,26,2,3.9,3.3,4.0,3.5,3.0,0.7289331275700105,0.04274725885299123,0.18218070222980975,-0.5809824407504244,-0.37742810909411895,0.5590529384072386,1.0698612474790723,1,0,2
NO,22,2,3.4,3.0,3.1,3.4,2.6,-0.445727827073912,-0.3618327543610637,-0.02617895458945499,-1.174827355847225,-1.381922687617212,-0.6094775688856153,0.32720744368462107,1,2,2
NO,19,2,3.4,3.2,2.1,4.0,3.5,-0.7701037681501757,0.09227581801926692,-0.25604964385186546,0.8936295357607325,0.6837178009185004,-0.6711454284763654,-0.9484917150614446,0,2,0
FI,19,1,3.6,2.3,2.0,3.1,2.9,-0.4494523191876877,-1.3289013556402292,-0.46625434627500006,0.6966255835114692,-0.43407944058364545,0.11077285835360182,-1.3591470434061794,0,1,1
US,21,2,4.2,2.5,3.9,4.0,3.1,1.2261290980675557,-0.7710742162512336,-0.9035621695547409,0.9164632165714324,-0.37263606110892517,1.5623437547776267,1.3146700900043653,1,1,1
BE,49,1,4.2,4.0,4.1,4.4,3.1,1.2910042862828084,1.2172529941494874,0.20738182588069387,-1.3960815180816932,-0.5800731951262557,1.0998348078470015,1.8766492740840919,1,0,2
US,18,2,4.2,3.8,3.3,4.2,3.2,1.0315035334217975,0.9014358444473769,0.16066966978666397,-0.8236537546210861,-0.21226616261073372,1.1615026674377515,0.7595559465475562,1,0,2
US,32,2,3.2,2.8,2.2,3.8,3.4,-1.0907552171126629,-0.4702127700458439,-0.4877653787181455,1.2462196661613765,0.5233479024203089,-1.0522226279664562,-0.9340041400650749,0,2,0
US,60,2,4.2,3.3,2.6,4.5,3.7,0.8044403746684129,0.38847581554854177,-0.5092764111612913,1.2676368177975714,0.9525983144105511,1.3156723164146267,-0.13415753003568087,1,1,1
IE,22,2,3.7,2.4,2.2,3.9,3.5,-0.20803260943737778,-0.9289827911022887,-0.9269182476017558,2.126986727575733,0.7355770844228331,0.33214538789402276,-0.9267985405432443,0,1,1
PL,24,1,3.3,3.8,1.1,3.2,2.3,-1.2710242307614967,0.5557072877518263,0.852126783177765,-3.2004499441827954,-2.0704695171291174,-1.1083554665844113,-1.7704834895487411,1,2,0
BR,16,2,4.1,2.9,2.9,4.2,2.8,0.7252086354562339,-0.20858562818612336,-0.6718464346884611,-0.49248077585663785,-1.2686200246381607,1.1868015762603294,0.6439608503874327,1,1,1
SK,20,1,4.0,2.4,2.6,2.7,3.3,0.45135133159829854,-1.3438570591369492,-0.09716971153243459,1.5988097965620198,0.8297115554611105,1.0887647659014097,-1.37302987655743,0,1,1
US,47,2,3.8,3.3,3.0,3.9,2.9,0.22801266495868958,0.18103868153121144,-0.09440214312663063,-0.8450709062572811,-0.848953708618306,0.30684647907144263,0.4135632069058006,1,0,2
US,15,2,3.2,2.5,2.7,3.1,3.8,-0.928567246574531,-1.0822299172772292,-0.2812507675027499,2.765082475119427,1.9427167489780626,-0.9597208385803311,-1.3153087044300764,0,2,0
US,17,2,3.0,3.0,1.6,2.9,3.3,-1.6384698248285356,-0.534697032708839,0.3195496021060956,0.6737919027007695,0.7259929884524454,-1.6183034062287982,-2.281418735130534,0,2,0
US,13,2,3.8,4.2,4.6,4.2,3.0,0.7470141706807114,1.3947787211733773,0.5306768273311644,-1.9685092815423002,-0.740443093624447,0.02934111091306746,2.323638103848813,1,0,2
HR,16,2,4.1,2.7,1.9,3.7,3.9,0.4008326943799702,-0.6281213448968984,-0.5111214567651604,2.7208316426725334,1.8956495134589237,1.2484694358510795,-1.740944918575511,0,1,1
SA,23,2,3.2,2.6,2.2,3.5,2.7,-1.0907552171126629,-0.8206027754175087,-0.4653318234730651,-0.2940602944328684,-1.1696935056146878,-0.9905547683757061,-0.6387147800223394,0,2,0
US,30,2,3.8,2.9,4.8,4.6,3.0,0.8118893588959641,-0.07029420550790327,-0.9484292800449012,0.03569615515707564,-0.9478802276417772,0.4301821982529426,2.885617287928539,1,1,2
US,17,2,4.1,2.1,4.4,3.9,4.0,1.2117725470706298,-1.2989899486467886,-1.2044236157601305,3.90993800204064,2.0560194119571156,1.4334730146233294,1.0558256624224054,0,1,1
US,20,2,3.6,3.4,2.4,3.9,3.2,-0.3197019427571823,0.3043744007127116,-0.0019003537405055393,-0.20697515871358613,-0.05668831209773585,-0.22840036939552327,-0.47286829420289805,0,2,0
US,25,1,4.1,3.4,2.8,3.2,2.9,0.6927710413486076,0.062364411025826266,0.4821196256332651,-0.9992405552341563,-0.4859387240879781,1.0326319272834545,-0.40771239469558873,1,0,2
BR,27,1,4.0,3.0,4.6,2.3,3.4,1.1001032137508258,-0.7421341667261694,0.7344238701407564,0.9378803682076261,1.3012371549852977,0.9037611871291595,0.3645213009367198,0,1,1
US,25,2,3.9,4.6,1.6,3.6,3.4,-0.049569131013022405,1.6806844638820464,1.3155582529103247,-1.5288340154223738,0.627066469428974,0.15821185106736357,-1.7556203005653774,1,0,2
US,21,2,3.2,3.8,2.9,4.4,3.2,-0.8636920583592784,0.9705815557864871,0.022378247108443605,-0.8236537546210861,-0.31598472961939894,-1.3605619259202062,0.4999189701269801,1,2,0
IE,59,1,3.7,3.4,3.4,4.2,2.6,0.18121851985413864,0.4080929677213768,-0.209337487757836,-1.7915059517547252,-1.7967969556518728,0.02380608994027271,1.343040498151986,1,0,2
US,30,2,4.1,4.0,4.3,4.2,2.5,1.1793349529630033,1.148107282810377,0.34567324855891424,-2.980612311122832,-2.0608854211587295,0.8476283485112044,2.3953948610328344,1,0,2
US,37,2,2.8,2.0,4.5,2.5,3.4,-1.050868638777485,-1.9063456472020597,-0.3288854463987141,2.4795768579763764,1.1975185879766324,-1.81437702694664,0.42926026559240776,0,2,0
NZ,27,2,3.6,2.9,2.4,3.9,3.3,-0.3197019427571823,-0.3123041951947886,-0.4644093006711306,0.8279615516776446,0.2074001534091197,-0.07423072041864823,-0.5520948338549547,0,1,1
US,41,2,3.2,4.4,2.0,3.7,3.3,-1.1556304053279156,1.4685858811886026,1.0614089627989651,-1.4845831829754816,0.3111187204177847,-1.5455655046924563,-1.157460366971081,0,2,0
GB,18,1,3.5,2.6,3.8,2.6,3.8,-0.042120146785470325,-1.1317584764435042,0.15697957857892586,2.6109128261425516,2.2020131664997256,-0.23393539036831928,-0.5580909496865478,0,1,1
US,21,2,3.4,2.4,3.7,3.8,3.7,-0.2511022624281537,-0.9635556467718438,-0.8577725362626456,2.655163658589447,1.3156132989408793,-0.42447399011336523,0.4501959463600727,0,2,1
US,15,2,3.8,3.7,3.2,4.3,3.6,0.2928878531739424,0.8126729809354322,-0.0009778309385705675,0.3868697563832141,0.7922284159123596,0.18351075988994248,0.42095661342112833,1,0,2
BR,18,2,3.9,2.9,2.8,2.7,3.5,0.33968199827849394,-0.7271784632294491,0.3653392353981906,1.356138482691358,1.357888486474824,0.6823886575887386,-1.3152323284773686,0,1,1
GB,20,1,3.9,3.2,4.2,3.8,3.2,0.7938083157852633,0.023130106680156748,-0.11775822117364514,0.10136413924016355,-0.0048290285934032146,0.5898868682026135,1.386955213080797,1,1,2
US,35,1,4.1,3.9,4.6,4.5,2.9,1.2766477352858823,1.128490130637542,0.045734325155458944,-1.7700888001185315,-1.1601094096443014,0.8784622783065794,2.6621610610225326,1,0,2
GB,24,2,3.6,1.9,2.6,2.9,3.3,-0.2548267545419295,-1.8913899437053394,-0.6979700811412797,2.369658041446395,0.7259929884524454,0.23410857753510186,-1.2001655982096548,0,1,1
US,33,2,3.9,3.6,4.3,4.2,3.5,0.8262459098928896,0.6547644060843771,-0.024333908985585795,0.2769509398532325,0.5799992339098352,0.4665511490211135,1.603129464512265,1,0,2
PH,20,2,3.7,3.5,1.9,3.4,3.2,-0.305345391760257,0.25484584154643647,0.43632999234117015,-0.3611448076904613,0.20260810542392704,-0.00702783985510233,-1.4456555585327757,0,2,0
US,59,2,3.4,3.8,2.9,4.0,2.8,-0.5106030152891649,0.8322901331082667,0.2989610924648843,-1.8800076166485131,-1.1649014576294954,-0.8561490072486153,0.47109657203965727,1,0,2
CA,19,2,3.7,2.8,4.7,3.7,3.8,0.6029072432532815,-0.5047856257153989,-0.41861966737903566,2.3025735281888022,1.631561047952067,0.20880966871252282,1.365790404455008,0,1,1
BR,26,1,4.2,3.2,3.0,2.6,3.3,0.9341907510989184,-0.39174416135450385,0.711990314895676,0.36545260474701907,0.8815708389654431,1.3465062462100015,-1.0269607609629663,0,1,1
CA,24,2,3.9,3.4,3.1,3.9,3.2,0.43699478060137315,0.3043744007127116,-0.0019003537405055393,-0.20697515871358613,-0.05668831209773585,0.5282190086118635,0.2840089016417176,1,0,2
US,31,2,3.5,2.6,5.0,4.3,3.4,0.34713098250604624,-0.5440199300610683,-1.0184975141859458,1.554558964115126,0.2640514848986461,-0.23393539036831928,2.5256653391828245,1,1,1
US,30,2,4.4,2.0,2.8,4.3,4.1,1.2224046059537799,-1.2840342451500686,-1.573508250502696,4.328196116524371,2.1126707434466407,2.220926322426094,-0.407677339607508,0,1,1
US,18,2,3.5,3.6,2.0,2.2,3.4,-0.625996840722745,-0.03669270730672397,1.3585803177966163,0.012862474346375774,1.35309643848963,-0.5422746883220694,-2.5331689942314526,0,2,0
