cluster_gmm,O_score,C_score,E_score,A_score,N_score,N_proxy,J_proxy,T_proxy,Impulsivity_Index,Emotional_Reactivity,Creative_Divergence,Social_Adaptability
0,3.8631562974203337,3.7943550834597874,3.3664036418816385,3.8747799696509864,3.01886191198786,0.4583641742078027,0.7820357943342628,0.38032372437970974,-1.2933158036857224,-0.5219741821388812,0.31370164126899297,0.6937699025063456
1,3.893936581593194,2.7111678267594743,3.0352049497293114,3.650239752513534,3.2369218870843004,0.4052721921777709,-0.6315509639904664,-0.4663839400884861,0.9525014298482142,0.17034200776449482,0.7253207044382834,-0.031176007940088978
2,3.247422680412371,3.147022618864441,2.6288198184336053,3.445591629481459,3.268487459609171,-0.8679342407229903,-0.16473902176710703,0.07829494214644919,0.36390666292048324,0.3598320941833789,-1.0396202754510189,-0.6724712673002229
